>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end
rm: cannot remove 'res1.txt': No such file or directory
>> Csmith, 69, , ,  * Seed:      24580152, 110882, 21:14:16, 21:14:28, 21:14:16, 21:14:17, 21:14:17, 21:14:28, 21:14:17, 21:14:17, 21:14:28, 21:14:28, 21:14:28, 21:14:28
>> Csmith, 70, , ,  * Seed:      2544787112, 205346, 21:14:28, 21:14:40, 21:14:28, 21:14:29, 21:14:29, 21:14:40, 21:14:29, 21:14:30, 21:14:40, 21:14:40, 21:14:40, 21:14:40
>> Csmith, 71, checksum = 0, checksum = 0,  * Seed:      1148041816, 2364, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40, 21:14:40
>> Csmith, 72, checksum = 828B9699, checksum = 828B9699,  * Seed:      1839345396, 197710, 21:14:40, 21:14:47, 21:14:40, 21:14:46, 21:14:46, 21:14:47, 21:14:46, 21:14:47, 21:14:47, 21:14:47, 21:14:47, 21:14:47
>> Csmith, 73, , ,  * Seed:      3396052388, 169452, 21:14:47, 21:15:05, 21:14:47, 21:14:54, 21:14:54, 21:15:05, 21:14:54, 21:14:55, 21:15:05, 21:15:05, 21:15:05, 21:15:05
>> Csmith, 74, checksum = 2B30559, checksum = 2B30559,  * Seed:      4129807400, 126692, 21:15:05, 21:15:10, 21:15:05, 21:15:09, 21:15:09, 21:15:10, 21:15:09, 21:15:09, 21:15:09, 21:15:09, 21:15:10, 21:15:10
>> Csmith, 75, checksum = 707368C2, checksum = 707368C2,  * Seed:      1724869952, 101760, 21:15:10, 21:15:13, 21:15:10, 21:15:12, 21:15:12, 21:15:13, 21:15:12, 21:15:13, 21:15:13, 21:15:13, 21:15:13, 21:15:13
>> Csmith, 76, checksum = B0AB6D68, checksum = B0AB6D68,  * Seed:      3224057776, 97123, 21:15:13, 21:15:16, 21:15:13, 21:15:15, 21:15:15, 21:15:16, 21:15:15, 21:15:16, 21:15:16, 21:15:16, 21:15:16, 21:15:16
>> Csmith, 77, checksum = 73A67655, checksum = 73A67655,  * Seed:      1117914244, 2281, 21:15:16, 21:15:17, 21:15:16, 21:15:16, 21:15:16, 21:15:17, 21:15:16, 21:15:16, 21:15:16, 21:15:16, 21:15:17, 21:15:17
>> Csmith, 78, checksum = 0, checksum = 0,  * Seed:      1654124964, 2336, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17, 21:15:17
>> Csmith, 79, checksum = BEDE7D3, checksum = BEDE7D3,  * Seed:      2523819424, 139938, 21:15:17, 21:15:24, 21:15:17, 21:15:22, 21:15:22, 21:15:24, 21:15:22, 21:15:23, 21:15:23, 21:15:23, 21:15:24, 21:15:24
>> Csmith, 80, checksum = 9F883584, checksum = 9F883584,  * Seed:      3379523696, 3143, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24, 21:15:24
>> Csmith, 81, checksum = 6599999F, checksum = 6599999F,  * Seed:      4045230796, 93262, 21:15:24, 21:15:26, 21:15:24, 21:15:26, 21:15:26, 21:15:26, 21:15:26, 21:15:26, 21:15:26, 21:15:26, 21:15:26, 21:15:26
>> Csmith, 82, checksum = A9FB32CA, checksum = A9FB32CA,  * Seed:      4276936080, 3173, 21:15:26, 21:15:27, 21:15:26, 21:15:26, 21:15:26, 21:15:27, 21:15:26, 21:15:27, 21:15:27, 21:15:27, 21:15:27, 21:15:27
>> Csmith, 83, checksum = 7EF0C788, checksum = 7EF0C788,  * Seed:      435024184, 96967, 21:15:27, 21:15:29, 21:15:27, 21:15:29, 21:15:29, 21:15:29, 21:15:29, 21:15:29, 21:15:29, 21:15:29, 21:15:29, 21:15:29
>> Csmith, 84, checksum = 66435186, checksum = 66435186,  * Seed:      1837946268, 2409, 21:15:29, 21:15:30, 21:15:29, 21:15:29, 21:15:29, 21:15:30, 21:15:29, 21:15:30, 21:15:30, 21:15:30, 21:15:30, 21:15:30
>> Csmith, 85, checksum = 93B24D1D, checksum = 93B24D1D,  * Seed:      2447283328, 232227, 21:15:30, 21:15:34, 21:15:30, 21:15:33, 21:15:33, 21:15:34, 21:15:33, 21:15:33, 21:15:33, 21:15:33, 21:15:34, 21:15:34
>> Csmith, 86, checksum = DE296B03, checksum = DE296B03,  * Seed:      2572357036, 81204, 21:15:34, 21:15:37, 21:15:34, 21:15:36, 21:15:36, 21:15:37, 21:15:36, 21:15:36, 21:15:36, 21:15:36, 21:15:37, 21:15:37
>> Csmith, 87, checksum = 704387F8, checksum = 704387F8,  * Seed:      3992388440, 199185, 21:15:37, 21:15:41, 21:15:37, 21:15:40, 21:15:40, 21:15:41, 21:15:40, 21:15:41, 21:15:41, 21:15:41, 21:15:41, 21:15:41
>> Csmith, 88, checksum = 537AEE1, checksum = 537AEE1,  * Seed:      3968931508, 3406, 21:15:41, 21:15:42, 21:15:41, 21:15:41, 21:15:41, 21:15:42, 21:15:41, 21:15:42, 21:15:42, 21:15:42, 21:15:42, 21:15:42
>> Csmith, 89, checksum = 295B752E, checksum = 295B752E,  * Seed:      876020572, 105982, 21:15:42, 21:15:45, 21:15:42, 21:15:44, 21:15:44, 21:15:45, 21:15:44, 21:15:44, 21:15:44, 21:15:44, 21:15:45, 21:15:45
>> Csmith, 90, checksum = D92F277E, checksum = D92F277E,  * Seed:      2072379856, 193177, 21:15:45, 21:15:51, 21:15:45, 21:15:49, 21:15:49, 21:15:51, 21:15:49, 21:15:49, 21:15:49, 21:15:49, 21:15:51, 21:15:51
>> Csmith, 91, checksum = 40AFC142, checksum = 40AFC142,  * Seed:      2170274908, 205091, 21:15:51, 21:15:57, 21:15:51, 21:15:56, 21:15:56, 21:15:57, 21:15:56, 21:15:57, 21:15:57, 21:15:57, 21:15:57, 21:15:57
>> Csmith, 92, checksum = BAB4A86C, checksum = BAB4A86C,  * Seed:      1446030340, 103323, 21:15:57, 21:16:02, 21:15:57, 21:16:01, 21:16:01, 21:16:02, 21:16:01, 21:16:02, 21:16:02, 21:16:02, 21:16:02, 21:16:02
>> Csmith, 93, checksum = 7EE969C5, checksum = 7EE969C5,  * Seed:      2875387468, 2391, 21:16:02, 21:16:03, 21:16:02, 21:16:02, 21:16:02, 21:16:03, 21:16:02, 21:16:02, 21:16:03, 21:16:03, 21:16:03, 21:16:03
>> Csmith, 94, , ,  * Seed:      3753965748, 184813, 21:16:03, 21:16:17, 21:16:03, 21:16:06, 21:16:06, 21:16:17, 21:16:06, 21:16:07, 21:16:17, 21:16:17, 21:16:17, 21:16:17
>> Csmith, 95, checksum = DA39178E, checksum = DA39178E,  * Seed:      1780146236, 48739, 21:16:17, 21:16:19, 21:16:17, 21:16:18, 21:16:18, 21:16:19, 21:16:18, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19
>> Csmith, 96, checksum = C122E196, checksum = C122E196,  * Seed:      1883585400, 3892, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19, 21:16:19
>> Csmith, 97, , ,  * Seed:      2706246780, 93074, 21:16:19, 21:16:31, 21:16:19, 21:16:21, 21:16:21, 21:16:31, 21:16:21, 21:16:21, 21:16:31, 21:16:31, 21:16:31, 21:16:31
>> Csmith, 98, checksum = 1F14FF4B, checksum = 1F14FF4B,  * Seed:      775118244, 3134, 21:16:31, 21:16:32, 21:16:31, 21:16:31, 21:16:31, 21:16:32, 21:16:31, 21:16:31, 21:16:31, 21:16:31, 21:16:32, 21:16:32
>> Csmith, 99, checksum = 0, checksum = 0,  * Seed:      1524929124, 2325, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32, 21:16:32
>> Csmith, 100, checksum = A00BA74A, checksum = A00BA74A,  * Seed:      2154455944, 220107, 21:16:32, 21:16:40, 21:16:32, 21:16:39, 21:16:39, 21:16:40, 21:16:39, 21:16:40, 21:16:40, 21:16:40, 21:16:40, 21:16:40
>> Csmith, 101, , ,  * Seed:      1488591820, 106192, 21:16:40, 21:16:52, 21:16:40, 21:16:41, 21:16:41, 21:16:52, 21:16:41, 21:16:42, 21:16:52, 21:16:52, 21:16:52, 21:16:52
